"","name","ticker","date","title","nr_attachments","type"
"44","Storm Real Estate ASA","STORM","2020-02-28T16:41:22.91+01:00","Storm Real Estate ASA - Delårsrapport 2. halvår 2019",2,"quarterly"
"45","Storm Real Estate ASA","STORM","2020-02-28T16:41:10.05+01:00","Storm Real Estate ASA - Interim Report H2 2019",2,"quarterly"
"46","Boa Offshore AS","BOAO","2020-02-28T16:31:00+01:00","Boa Offshore AS - Consolidated Fourth quarter report 2019",1,"quarterly"
"47","BOA OCV AS","BOA","2020-02-28T16:31:00+01:00","Boa OCV AS - Fourth quarter report 2019",1,"quarterly"
"48","Sand Hill Petroleum BV","SAHI","2020-02-28T16:14:27.82+01:00","2019 QTR 4 Interim Accounts and invitation to a Conference call",2,"quarterly"
"49","Steen & Strøm AS","SST","2020-02-28T15:54:11.473+01:00","PRELIMINARY FINANCIAL RESULTS 2019",1,"quarterly"
"50","Songa Container AS","SCT","2020-02-28T15:53:13.267+01:00","Songa Container Q4 2019 Financial report",1,"quarterly"
"51","Bulk Industrier AS","BUIN","2020-02-28T15:48:10.827+01:00","Interim Report 2019 Published",1,"quarterly"
"52","Ice Group Scandinavia Holdings AS","IGSH","2020-02-28T15:14:42.227+01:00","Ice Scandinavia - Fourth quarter and full-year 2019 results",1,"quarterly"
"53","DigiPlex Norway Holding 2 AS","DPNH","2020-02-28T15:00:00+01:00","DigiPlex Norway Holding 2 AS - Interim report Q4 2019",1,"quarterly"
"54","Beerenberg AS","BBERG","2020-02-28T14:27:28.033+01:00","Fourth quarter 2019 results",1,"quarterly"
"55","Havila Shipping ASA","HAVI","2020-02-28T13:59:20.01+01:00","Havila Shipping ASA: Regnskap for fjerde kvartal 2019 / Foreløpig regnskap for 2019",1,"quarterly"
"56","Havila Shipping ASA","HAVI","2020-02-28T13:59:19.933+01:00","Havila Shipping ASA: Fourth quarter 2019 accounts / Preliminary accounts for 2019",1,"quarterly"
"57","Fossberg Kraft Produksjon AS","FOKR","2020-02-28T13:29:52.747+01:00","Regnskap Q4 2019",1,"quarterly"
"58","Rem Saltire AS","EFOR","2020-02-28T13:10:01.703+01:00","REM SALTIRE 2 HALF YEAR 2019",1,"quarterly"
"59","Rem Saltire AS","EFOR","2020-02-28T13:10:01.67+01:00","REM SALTIRE 2 HALVÅR 2019",1,"quarterly"
"60","Zwipe AS","ZWIPE-ME","2020-02-28T10:35:30.647+01:00","Publication of second half-year 2019 report",1,"quarterly"
"61","Jinhui Shipping and Transport. Ltd","JIN","2020-02-28T09:19:57.18+01:00","CONFERENCE CALL - 28 FEBRUARY 2020 (RESCHEDULED)",0,"quarterly"
"62","Quantafuel ASA","QFUEL-ME","2020-02-28T08:57:10.507+01:00","Quantafuel AS | Q4 2019 Financial statement and review",1,"quarterly"
"63","Scana ASA","SCANA","2020-02-28T08:50:00+01:00","INCUS: INNTEKT OG RESULTAT VESENTLIG FORBEDRET I 2019",1,"quarterly"
"64","Viking Redningstjeneste Topco AS","VIKR","2020-02-28T08:40:00+01:00","VIKING Financial reporting 4Q19",1,"quarterly"
"65","Northern Ocean Ltd.","NOL","2020-02-28T08:03:20.033+01:00","NOL: Fourth Quarter 2019 Results",1,"quarterly"
"66","Northern Drilling Ltd.","NODL","2020-02-28T08:02:45.213+01:00","NODL: Fourth Quarter 2019 Results",1,"quarterly"
"67","MPC Container Ships ASA","MPCC","2020-02-28T08:00:19.067+01:00","MPC Container Ships ASA reports Q4 and twelve-month 2019 results",1,"quarterly"
"68","MPC Container Ships Invest B.V.","MPCBV","2020-02-28T08:00:18.613+01:00","MPC Container Ships Invest B.V. reports Q4 and twelve-month 2019 Results",1,"quarterly"
"69","American Shipping Company ASA","AMSC","2020-02-28T08:00:15.52+01:00","American Shipping Company ASA - Fourth quarter financial results",2,"quarterly"
"70","American Tanker, Inc.","AMTI","2020-02-28T08:00:11.287+01:00","American Shipping Company ASA - fourth quarter 2019 financial results",1,"quarterly"
"71","Hospitality Invest AS","HOIN","2020-02-28T08:00:00+01:00","Hospitality Invest AS - Q4 2019 Interim Report",1,"quarterly"
"72","Aega ASA","AEGA","2020-02-28T08:00:00+01:00","Interim report Q4 2019",1,"quarterly"
"73","Jinhui Shipping and Transport. Ltd","JIN","2020-02-28T07:57:17.633+01:00","CONFERENCE CALL - 28 FEBRUARY 2020",1,"quarterly"
"74","Medistim ASA","MEDI","2020-02-28T07:55:00+01:00","4th quarter and preliminary year end financials for 2019 for Medistim ASA",2,"quarterly"
"75","SeaBird Exploration PLC","SBX","2020-02-28T07:30:03.973+01:00","SeaBird Exploration: fourth quarter 2019 report",2,"quarterly"
"76","Element ASA","ELE","2020-02-28T07:30:00+01:00","Element ASA: Fourth quarter 2019 report",1,"quarterly"
"77","Zalaris ASA","ZAL","2020-02-28T07:26:02.007+01:00","19th year of uninterrupted growth and all-time high Q4 revenues",2,"quarterly"
"78","Jacob Holm & Sønner Holding A/S","JAHO","2020-02-28T07:07:18.357+01:00","Interim Report Q4 2019 - Jacob Holm & Sønner Holding A/S",3,"quarterly"
"79","Insr Insurance Group ASA","INSR","2020-02-28T07:00:15.59+01:00","Insr: Q4 2019 results: Underlying on track",3,"quarterly"
"80","Vistin Pharma ASA","VISTIN","2020-02-28T07:00:03.417+01:00","Vistin Pharma ASA: Fourth quarter 2019 financial results",2,"quarterly"
"81","Infront ASA","INFRNT","2020-02-28T07:00:00+01:00","Infront ASA: Good progress on vwd integration and strong revenue and user growth",2,"quarterly"
"82","B2Holding ASA","B2H","2020-02-28T07:00:00+01:00","B2Holding ASA: Fourth quarter results with stable Gross Cash Collection and Cash EBITDA",2,"quarterly"
"83","Okeanis Eco Tankers Corp.","OET","2020-02-28T06:30:00+01:00","Okeanis Eco Tankers Corp. Reports Unaudited Interim Condensed Results for the Fourth Quarter and Twelve Month Period of 2019",2,"quarterly"
"84","Jinhui Shipping and Transport. Ltd","JIN","2020-02-28T05:13:49.55+01:00","FOURTH QUARTER REPORT AND PRELIMINARY ANNUAL RESULTS FOR THE YEAR ENDED 31 DECEMBER 2019",1,"quarterly"
"85","Møller Mobility Group AS","MOLLG","2020-02-27T20:00:00+01:00","Møller Mobility Group Tertialrapport 3. tertial pr 31.12.2019",1,"quarterly"
"86","Petrolia SE","PSE","2020-02-27T19:01:27.667+01:00","PRELIMINARY - NON-AUDITED 2019",1,"quarterly"
"87","Solstad Offshore ASA","SOFF","2020-02-27T17:09:57+01:00","Financial report for the 4[th] quarter 2019",1,"quarterly"
"88","Ziton A/S","ZITON","2020-02-27T17:00:00+01:00","ZITON A/S - interim report Q4 2019",1,"quarterly"
"89","Ziton A/S","ZITON","2020-02-27T17:00:00+01:00","ZITON A/S - interim report Q4 2019",1,"quarterly"
"90","Byggma ASA","BMA","2020-02-27T16:17:05.023+01:00","BYGGMA ASA - RESULTAT FOR 4. KVARTAL 2019",1,"quarterly"
"91","Småkraft AS","SMAKR","2020-02-27T13:40:25.71+01:00","Småkrafts production grows 9% in 2019",1,"quarterly"
"92","Småkraft AS","SMAKR","2020-02-27T13:40:25.687+01:00","Småkraft økte produksjonen med 9% i 2019",1,"quarterly"
"93","Sunndal Sparebank","SUNSB-ME","2020-02-27T12:55:53.75+01:00","Delårsrapport 4. kvartal 2019",1,"quarterly"
"94","Ekornes QM Holding AS","EKO","2020-02-27T09:00:01.737+01:00","Ekornes QM Holding Group – Fourth quarter 2019",1,"quarterly"
"95","Interoil Exploration and Prod. ASA","IOX","2020-02-27T08:54:20.557+01:00","Interoil Q4 2019",1,"quarterly"
"96","Odfjell Drilling Ltd","ODL","2020-02-27T08:01:11.88+01:00","ODL. - Presentation in today’s Investor Conference Call",1,"quarterly"
"97","Odfjell Drilling Ltd","ODL","2020-02-27T08:00:10.473+01:00","ODL - Q4 2019 Report",1,"quarterly"
"98","Siem Offshore Inc.","SIOFF","2020-02-27T07:54:18.767+01:00","Results for the Fourth Quarter 2019",2,"quarterly"
"99","Borgestad ASA","BOR","2020-02-27T07:32:56.443+01:00","BOR - Delårsrapport 4. kvartal 2019",1,"quarterly"
"100","Kongsberg Automotive ASA","KOA","2020-02-27T07:30:17.637+01:00","Kongsberg Automotive reports Q4 2019 results",3,"quarterly"
"101","Avance Gas Holding Ltd","AVANCE","2020-02-27T07:30:04.983+01:00","Avance Gas Holding Ltd Reports Unaudited Results for the Fourth Quarter and Full Year of 2019",1,"quarterly"
"102","North Energy ASA","NORTH","2020-02-27T07:30:02.623+01:00","North Energy ASA - Results for the fourth quarter 2019",1,"quarterly"
"103","Höegh LNG Holdings Ltd","HLNG","2020-02-27T07:00:17.73+01:00","Höegh LNG: Interim results for the quarter and year ended 31 December 2019",2,"quarterly"
"104","Otello Corporation ASA","OTELLO","2020-02-27T07:00:17.697+01:00","Otello Corporation announces fourth quarter results",2,"quarterly"
"105","Polarcus Limited","PLCS","2020-02-27T07:00:03.977+01:00","Polarcus Fourth Quarter and Preliminary Full Year 2019 Results: Strong increase in full year earnings",2,"quarterly"
"106","IDEX Biometrics ASA","IDEX","2020-02-27T07:00:02.43+01:00","IDEX Biometrics's report for the fourth quarter of 2019",1,"quarterly"
"107","ADS Crude Carriers Plc","ADSC-ME","2020-02-27T06:30:00+01:00","ADS Crude Carriers fourth quarter 2019",1,"quarterly"
"108","AqualisBraemar ASA","AQUA","2020-02-27T06:00:00+01:00","Q4 2019 financial results",2,"quarterly"
"109","Vizrt Group AS","VIZG","2020-02-26T15:39:40.377+01:00","Vizrt Group reports Q4 and full year 2019",1,"quarterly"
"110","Vizrt Group AS","VIZG","2020-02-26T10:00:00+01:00","Vizrt Group reports Q4 and full year 2019",1,"quarterly"
"111","Eidesvik Offshore ASA","EIOF","2020-02-26T08:30:00+01:00","EIOF – Presentation of 4th Quarter 2019 results",1,"quarterly"
"112","Vow ASA","VOW","2020-02-26T08:00:02.93+01:00","Vow ASA : 2H 2019 report - Order Backlog climbed to NOK 890 million",1,"quarterly"
"113","Fjord1 ASA","FJORD","2020-02-26T08:00:00+01:00","Fjord1 resultat i fjerde kvartal og 2019",3,"quarterly"
"114","Fjord1 ASA","FJORD","2020-02-26T08:00:00+01:00","Fjord1 fourth quarter and 2019 results",3,"quarterly"
"115","Solon Eiendom ASA","SOLON","2020-02-26T08:00:00+01:00","Solon Eiendom ASA – Sterke resultater i 2019",2,"quarterly"
"116","Nekkar ASA","NKR","2020-02-26T07:55:02.743+01:00","Nekkar ASA: Financial report 4Q 2019",1,"quarterly"
"117","Goodtech ASA","GOD","2020-02-26T07:50:00+01:00","Goodtech: Resultat for 4. kvartal 2019",1,"quarterly"
"118","Panoro Energy ASA","PEN","2020-02-26T07:30:26.407+01:00","Panoro Energy Announces Full Year 2019 Results",3,"quarterly"
"119","NTS ASA","NTS","2020-02-26T07:13:37.113+01:00","NTS ASA: Delårsrapport 4. kvartal 2019",1,"quarterly"
"120","Multiconsult ASA","MULTI","2020-02-26T07:00:41.407+01:00","Multiconsult ASA fourth quarter and full year 2019",3,"quarterly"
"121","PCI Biotech Holding ASA","PCIB","2020-02-26T07:00:04.84+01:00","PCI Biotech's fourth quarter and preliminary 2019 results",2,"quarterly"
"122","FLEX LNG LTD","FLNG","2020-02-26T07:00:00+01:00","Flex LNG Q4, 2019 Earnings Release",1,"quarterly"
"123","NEXT Biometrics Group ASA","NEXT","2020-02-26T07:00:00+01:00","NEXT Biometrics Group ASA – Interim report as at 31 December 2019",2,"quarterly"
"124","Axxis Geo Solutions ASA","AGS","2020-02-26T07:00:00+01:00","Fourth quarter 2019 earnings release",2,"quarterly"
"125","Eidesvik Offshore ASA","EIOF","2020-02-25T17:00:00+01:00","EIOF - Report for 4th Quarter 2019",1,"quarterly"
"126","MPC Container Ships ASA","MPCC","2020-02-25T15:00:04.73+01:00","MPC Container Ships ASA announces date for Q4 and twelve-month 2019 results",0,"quarterly"
"127","Drangedal Sparebank","DTSB","2020-02-25T14:26:16.323+01:00","Delårsregnskap Q4 2019 - Drangedal Sparebank",1,"quarterly"
"128","OTIGA Group AS","OTIG","2020-02-25T12:00:00+01:00","Q4'19 Interim Report - OTIGA Group AS",1,"quarterly"
"129","Avance Gas Holding Ltd","AVANCE","2020-02-25T08:00:01.85+01:00","Avance Gas - Invitation to Earnings Release Audio Webcast for the Fourth Quarter of 2019 (Revised time)",0,"quarterly"
"130","Siccar Point Energy Bonds plc","SPEB","2020-02-25T08:00:00+01:00","H2 2019 Interim Accounts for Parent",1,"quarterly"
"131","Reach Subsea ASA","REACH","2020-02-25T07:30:00+01:00","Reach Subsea ASA 4Q2019 report",1,"quarterly"
"132","Itera ASA","ITE","2020-02-25T07:15:00+01:00","Solid lønnsomhet og nye kunder i nye bransjer",2,"quarterly"
"133","Itera ASA","ITE","2020-02-25T07:15:00+01:00","Strong profitability and new customers in new industries",2,"quarterly"
"134","Norwegian Energy Company ASA","NOR","2020-02-25T07:00:17.397+01:00","Noreco announces fourth quarter 2019 results",2,"quarterly"
"135","Observe Medical ASA","OBSERV","2020-02-25T07:00:13.71+01:00","Observe Medical ASA: Q4 2019 financial results",1,"quarterly"
"136","Klaveness Combination Carriers ASA","KCC","2020-02-25T07:00:00+01:00","Klaveness Combination Carriers ASA: Q4 2019 results",2,"quarterly"
"137","EAM Solar ASA","EAM","2020-02-25T07:00:00+01:00","EAM Solar ASA: Q4 2019 Financial Report",1,"quarterly"
"138","Austevoll Seafood ASA","AUSS","2020-02-25T07:00:00+01:00","Finansiell rapport for 4. kvartal og foreløpige tall for år 2019",2,"quarterly"
"139","Austevoll Seafood ASA","AUSS","2020-02-25T07:00:00+01:00","Financial report Q4 2019 and preliminary figures for 2019",2,"quarterly"
"140","Lerøy Seafood Group ASA","LSG","2020-02-25T06:30:08.603+01:00","Lerøy Seafood Group ASA: Preliminary financial figures 2019",2,"quarterly"
"141","Lerøy Seafood Group ASA","LSG","2020-02-25T06:30:07.887+01:00","Lerøy Seafood Group ASA: Foreløpige finansielle tall 2019",2,"quarterly"
"142","Bouvet ASA","BOUVET","2020-02-25T06:30:00+01:00","BOUVET FORTSATTE SIN GODE UTVIKLING",2,"quarterly"
"143","Bouvet ASA","BOUVET","2020-02-25T06:30:00+01:00","BOUVET CONTINUED TO MAKE GOOD PROGRESS",2,"quarterly"
"144","Bakkafrost P/f","BAKKA","2020-02-25T06:00:19.55+01:00","Operational EBIT of DKK 415 Million for the Fourth Quarter of 2019",2,"quarterly"
"145","Medistim ASA","MEDI","2020-02-24T13:37:33.48+01:00","Presentation of fourth quarter results and preliminary results for 2019 for Medistim ASA",0,"quarterly"
"146","Infront ASA","INFRNT","2020-02-24T09:50:53.33+01:00","Infront ASA: Q4 2019 results and webcast",0,"quarterly"
"147","SeaBird Exploration PLC","SBX","2020-02-24T08:30:01.587+01:00","SeaBird Exploration: fourth quarter 2019 presentation and webcast",0,"quarterly"
"148","Belships ASA","BEL","2020-02-21T15:37:31.107+01:00","Belships ASA - Report 4th quarter 2019",2,"quarterly"
"149","Insr Insurance Group ASA","INSR","2020-02-21T14:35:03.59+01:00","Invitation to presentation of Insr's Q4 and preliminary 2019 results",0,"quarterly"
"150","Diana Shipping Inc","DIASH","2020-02-21T14:32:36.74+01:00","DIANA SHIPPING INC. REPORTS FINANCIAL RESULTS FOR THE FOURTH QUARTER AND YEAR ENDED DECEMBER 31, 2019",1,"quarterly"
"151","Haugesund Sparebank","HGSB","2020-02-21T08:02:12.34+01:00","Haugesund Sparebank - Årsrapport 2019",1,"quarterly"
"152","DOF ASA","DOF","2020-02-21T08:00:18.207+01:00","Financial Report 4[th] quarter for DOF ASA",2,"quarterly"
"153","Floatel International Ltd","FLOAT","2020-02-20T13:08:57.687+01:00","Floatel International Ltd: Fourth quarter 2019 report and presentation",2,"quarterly"
"154","Helgeland Kraft AS","HELK","2020-02-20T12:10:45.673+01:00","Godt årsresultat for konsernet Helgeland Kraft - Regnskap pr. 4 kvartal 2019",1,"quarterly"
"155","Fjord1 ASA","FJORD","2020-02-20T08:27:56.237+01:00","FJORD1 - Invitation to presentation of fourth quarter 2019 results",0,"quarterly"
"156","Fjord1 ASA","FJORD","2020-02-20T08:27:56.207+01:00","FJORD1 – Invitasjon til presentasjon av 4 kvartal 2019",0,"quarterly"
"157","ContextVision AB","COV","2020-02-20T08:00:02.977+01:00","ContextVision opplevde sterkt momentum i 2019, både innen medisinsk bildebehandling og digital patologi",1,"quarterly"
"158","ContextVision AB","COV","2020-02-20T08:00:02.757+01:00","ContextVision Sees Strong Momentum in 2019 Across Medical Imaging and Digital Pathology Sectors",1,"quarterly"
"159","Tomra Systems ASA","TOM","2020-02-20T07:00:18.25+01:00","TOMRA: 4Q 2019 results - Good development backed by solid growth drivers",3,"quarterly"
"160","Norwegian Finans Holding ASA","NOFI","2020-02-20T07:00:04.577+01:00","NORWEGIAN FINANS HOLDING ASA: STERK VEKST OG INNTJENING I BANK NORWEGIAN",3,"quarterly"
"161","Bank Norwegian AS","BANKN","2020-02-20T07:00:04.467+01:00","BANK NORWEGIAN AS: STERK VEKST OG INNTJENING I BANK NORWEGIAN",3,"quarterly"
"162","Norwegian Finans Holding ASA","NOFI","2020-02-20T07:00:04.233+01:00","NORWEGIAN FINANS HOLDING ASA: STRONG GROWTH AND EARNINGS IN BANK NORWEGIAN",3,"quarterly"
"163","Bank Norwegian AS","BANKN","2020-02-20T07:00:04.14+01:00","BANK NORWEGIAN AS: STRONG GROWTH AND EARNINGS IN BANK NORWEGIAN",3,"quarterly"
"164","Floatel International Ltd","FLOAT","2020-02-19T18:09:26.727+01:00","Floatel International Ltd: Fourth quarter 2019 report and presentation",2,"quarterly"
"165","Eidesvik Offshore ASA","EIOF","2020-02-19T14:00:00+01:00","EIOF – Presentation of 4th Quarter 2019 results",0,"quarterly"
"166","Bouvet ASA","BOUVET","2020-02-19T09:29:29.69+01:00","Invitation to presentation of 4th quarter results 2019",0,"quarterly"
"167","Bouvet ASA","BOUVET","2020-02-19T09:29:29.597+01:00","Invitasjon til presentasjon av fjerde kvartal 2019",0,"quarterly"
"168","Wilson ASA","WILS","2020-02-19T08:20:44.907+01:00","Wilson ASA: Kvartalsrapport 4Q 2019",1,"quarterly"
"169","Pioneer Property Group ASA","PPG PREF","2020-02-19T08:00:00+01:00","PPG Financial Report for Q4 2019",1,"quarterly"
"170","NattoPharma ASA","NATTO","2020-02-19T07:00:12.5+01:00","RECORD STRONG END TO 2019",2,"quarterly"
"171","Austevoll Seafood ASA","AUSS","2020-02-18T15:26:04.807+01:00","Invitation to presentation of preliminary financial results 2019",0,"quarterly"
"172","Austevoll Seafood ASA","AUSS","2020-02-18T15:26:04.76+01:00","Invitasjon til presentasjon av foreløpige finansielle tall for 2019",0,"quarterly"
"173","Lerøy Seafood Group ASA","LSG","2020-02-18T15:16:05.703+01:00","Lerøy Seafood Group ASA: Invitation to presentation of results for Q4 2019",0,"quarterly"
"174","Lerøy Seafood Group ASA","LSG","2020-02-18T15:16:05.687+01:00","Lerøy Seafood Group ASA: Invitasjon til presentasjon av resultater for 4. kvartal 2019",0,"quarterly"
"175","Golden Ocean Group Limited","GOGL","2020-02-18T13:17:55.28+01:00","GOGL - Q4 2019 Presentation",1,"quarterly"
"176","SFL Corporation Ltd.","SFLN","2020-02-18T12:34:08.903+01:00","SFL - Preliminary Q4 2019 results and quarterly cash dividend of $0.35 per share",1,"quarterly"
"177","Voss Veksel- og Landmandsbank ASA","VVL","2020-02-18T10:08:30.493+01:00","KONSOLIDERT KAPITALDEKNING 4. KVARTAL 2019",1,"quarterly"
"178","Itera ASA","ITE","2020-02-18T09:11:48.063+01:00","Presentation Q4 2019",0,"quarterly"
"179","Itera ASA","ITE","2020-02-18T09:11:48.003+01:00","Presentasjon 4. kvartal 2019",0,"quarterly"
"180","Golden Ocean Group Limited","GOGL","2020-02-18T08:01:05.897+01:00","GOGL - Fourth Quarter 2019 Results",1,"quarterly"
"181","Avance Gas Holding Ltd","AVANCE","2020-02-18T08:00:01.953+01:00","Avance Gas - Invitation to Earnings Release Audio Webcast for the Fourth Quarter of 2019",0,"quarterly"
"182","Gaming Innovation Group Inc","GIG","2020-02-18T08:00:00+01:00","Gaming Innovation Group reports Q4 2019",2,"quarterly"
"183","Gaming Innovation Group Ltd.","GIGLTD","2020-02-18T08:00:00+01:00","Gaming Innovation Group reports Q4 2019",2,"quarterly"
"184","Surnadal Sparebank","SUSB-ME","2020-02-18T07:00:00+01:00","SURNADAL SPAREBANK – DELÅRSRAPPORT 4. KVARTAL 2019",1,"quarterly"
"185","Norlandia Health & Care Group AS","NHC","2020-02-18T07:00:00+01:00","Norlandia Health & Care Group - Q4'2019 Interim Report",1,"quarterly"
"186","Polarcus Limited","PLCS","2020-02-18T06:37:32.607+01:00","Fourth Quarter 2019 Report - Presentation, Webcast and Conference Call Details",0,"quarterly"
"187","Grue Sparebank","GRSB","2020-02-17T10:51:49.03+01:00","Delårsrapport 4. kvartal 2019 Grue Sparebank",1,"quarterly"
"188","Zenith Energy Ltd","ZENA-ME","2020-02-14T19:21:03.377+01:00","Filing of Quarterly Results",2,"quarterly"
"189","Pandion Energy AS","PANE","2020-02-14T17:00:00+01:00","Q4 2019 Pandion Energy AS",1,"quarterly"
"190","Eidsiva Energi AS","EIEN","2020-02-14T14:02:46.933+01:00","Eidsiva Energi AS: Resultat per fjerde kvartal 2019",1,"quarterly"
"191","Jacktel AS","JACKT","2020-02-14T13:33:31.763+01:00","Jacktel Interim Report Q4 2019",1,"quarterly"
"192","Avinor AS","AVINOR","2020-02-14T13:28:27.077+01:00","A stable 2019 for Avinor",1,"quarterly"
